	cmd	descr	duration	enclaved	operation	program	size	time
0	['cargo', 'build', '--features=enclavization_bin']	Time spent building the program in debug mode with multiple codegen units	5739.583492279053	False	debug	build factorial		2021-08-21 12:16:28.709292
1	['cargo', 'rustc', '--features=enclavization_bin', '--', '-C', 'codegen-units=1']	Time spent building the program in debug mode with one codegen unit	6586.629629135132	False	debug, codegen-units=1	build factorial		2021-08-21 12:16:35.300235
2	['cargo', 'build', '--features=enclavization_bin', '--release']	Time spent building the program in release mode with multiple codegen units	15755.714178085327	False	release	build factorial		2021-08-21 12:16:51.059731
3	['cargo', 'rustc', '--features=enclavization_bin', '--release', '--', '-C', 'codegen-units=1']	Time spent building the program in release mode with one codegen unit	18279.778718948364	False	release, codegen-units=1	build factorial		2021-08-21 12:17:09.341930
0	['make', 'all']	Time spent building the program in debug mode	44960.07776260376	True	debug, codegen-units=1	build factorial		2021-08-21 12:17:54.343022
1	['make', 'all']	Time spent building the program in release mode	105887.09211349487	True	release, codegen-units=1	build factorial		2021-08-21 12:19:40.276316
0	['target/release/factorial', '1']	Time from before all recursive calls to after them	2e-06	False		factorial	1.0	2021-08-21 12:19:40.280517
1	['target/release/factorial', '2']	Time from before all recursive calls to after them	3e-06	False		factorial	2.0	2021-08-21 12:19:40.282821
2	['target/release/factorial', '3']	Time from before all recursive calls to after them	5e-06	False		factorial	3.0	2021-08-21 12:19:40.284845
3	['target/release/factorial', '4']	Time from before all recursive calls to after them	7e-06	False		factorial	4.0	2021-08-21 12:19:40.286832
4	['target/release/factorial', '5']	Time from before all recursive calls to after them	9e-06	False		factorial	5.0	2021-08-21 12:19:40.288859
5	['target/release/factorial', '6']	Time from before all recursive calls to after them	1.1e-05	False		factorial	6.0	2021-08-21 12:19:40.290926
6	['target/release/factorial', '7']	Time from before all recursive calls to after them	1.3e-05	False		factorial	7.0	2021-08-21 12:19:40.293021
7	['target/release/factorial', '8']	Time from before all recursive calls to after them	1.5e-05	False		factorial	8.0	2021-08-21 12:19:40.295134
8	['target/release/factorial', '9']	Time from before all recursive calls to after them	1.6e-05	False		factorial	9.0	2021-08-21 12:19:40.297206
9	['target/release/factorial', '10']	Time from before all recursive calls to after them	2.2e-05	False		factorial	10.0	2021-08-21 12:19:40.299318
10	['target/release/factorial', '11']	Time from before all recursive calls to after them	2.6e-05	False		factorial	11.0	2021-08-21 12:19:40.301467
11	['target/release/factorial', '12']	Time from before all recursive calls to after them	2.8e-05	False		factorial	12.0	2021-08-21 12:19:40.303726
12	['target/release/factorial', '13']	Time from before all recursive calls to after them	3e-05	False		factorial	13.0	2021-08-21 12:19:40.305958
13	['target/release/factorial', '14']	Time from before all recursive calls to after them	3.3e-05	False		factorial	14.0	2021-08-21 12:19:40.308224
14	['target/release/factorial', '15']	Time from before all recursive calls to after them	3.6e-05	False		factorial	15.0	2021-08-21 12:19:40.310479
15	['target/release/factorial', '16']	Time from before all recursive calls to after them	3.6e-05	False		factorial	16.0	2021-08-21 12:19:40.312766
16	['target/release/factorial', '17']	Time from before all recursive calls to after them	3.9e-05	False		factorial	17.0	2021-08-21 12:19:40.315096
17	['target/release/factorial', '18']	Time from before all recursive calls to after them	4.1e-05	False		factorial	18.0	2021-08-21 12:19:40.317452
18	['target/release/factorial', '19']	Time from before all recursive calls to after them	4.3e-05	False		factorial	19.0	2021-08-21 12:19:40.319825
19	['target/release/factorial', '20']	Time from before all recursive calls to after them	4.8e-05	False		factorial	20.0	2021-08-21 12:19:40.322223
0	['build/factorial', '1']	Time from before all recursive calls to after them	2e-06	True		factorial	1.0	2021-08-21 12:19:40.329170
1	['build/factorial', '2']	Time from before all recursive calls to after them	0.010044	True		factorial	2.0	2021-08-21 12:19:40.409205
2	['build/factorial', '3']	Time from before all recursive calls to after them	0.014932	True		factorial	3.0	2021-08-21 12:19:40.589225
3	['build/factorial', '4']	Time from before all recursive calls to after them	0.020046	True		factorial	4.0	2021-08-21 12:19:40.817203
4	['build/factorial', '5']	Time from before all recursive calls to after them	0.024867	True		factorial	5.0	2021-08-21 12:19:41.097248
5	['build/factorial', '6']	Time from before all recursive calls to after them	0.029986	True		factorial	6.0	2021-08-21 12:19:41.425244
6	['build/factorial', '7']	Time from before all recursive calls to after them	0.034819	True		factorial	7.0	2021-08-21 12:19:41.805239
7	['build/factorial', '8']	Time from before all recursive calls to after them	0.040018	True		factorial	8.0	2021-08-21 12:19:42.233232
8	['build/factorial', '9']	Time from before all recursive calls to after them	0.04475	True		factorial	9.0	2021-08-21 12:19:42.713263
9	['build/factorial', '10']	Time from before all recursive calls to after them	0.049661	True		factorial	10.0	2021-08-21 12:19:43.241231
10	['build/factorial', '11']	Time from before all recursive calls to after them	0.054555	True		factorial	11.0	2021-08-21 12:19:43.817239
11	['build/factorial', '12']	Time from before all recursive calls to after them	0.059686	True		factorial	12.0	2021-08-21 12:19:44.441220
12	['build/factorial', '13']	Time from before all recursive calls to after them	0.064551	True		factorial	13.0	2021-08-21 12:19:45.117256
13	['build/factorial', '14']	Time from before all recursive calls to after them	0.069405	True		factorial	14.0	2021-08-21 12:19:45.841233
14	['build/factorial', '15']	Time from before all recursive calls to after them	0.074381	True		factorial	15.0	2021-08-21 12:19:46.613224
15	['build/factorial', '16']	Time from before all recursive calls to after them	0.079455	True		factorial	16.0	2021-08-21 12:19:47.437243
16	['build/factorial', '17']	Time from before all recursive calls to after them	0.084276	True		factorial	17.0	2021-08-21 12:19:48.313236
17	['build/factorial', '18']	Time from before all recursive calls to after them	0.089632	True		factorial	18.0	2021-08-21 12:19:49.237002
18	['build/factorial', '19']	Time from before all recursive calls to after them	0.094308	True		factorial	19.0	2021-08-21 12:19:50.213249
19	['build/factorial', '20']	Time from before all recursive calls to after them	0.099502	True		factorial	20.0	2021-08-21 12:19:51.237258
0	['target/release/factorial', '1']	Time from before all recursive calls to after them	2e-06	False		factorial	1.0	2021-08-21 12:19:52.318603
1	['target/release/factorial', '2']	Time from before all recursive calls to after them	4e-06	False		factorial	2.0	2021-08-21 12:19:52.320878
2	['target/release/factorial', '3']	Time from before all recursive calls to after them	5e-06	False		factorial	3.0	2021-08-21 12:19:52.322876
3	['target/release/factorial', '4']	Time from before all recursive calls to after them	7e-06	False		factorial	4.0	2021-08-21 12:19:52.324910
4	['target/release/factorial', '5']	Time from before all recursive calls to after them	9e-06	False		factorial	5.0	2021-08-21 12:19:52.326959
5	['target/release/factorial', '6']	Time from before all recursive calls to after them	1.1e-05	False		factorial	6.0	2021-08-21 12:19:52.328986
6	['target/release/factorial', '7']	Time from before all recursive calls to after them	1.5e-05	False		factorial	7.0	2021-08-21 12:19:52.331063
7	['target/release/factorial', '8']	Time from before all recursive calls to after them	1.6e-05	False		factorial	8.0	2021-08-21 12:19:52.333352
8	['target/release/factorial', '9']	Time from before all recursive calls to after them	1.8e-05	False		factorial	9.0	2021-08-21 12:19:52.335775
9	['target/release/factorial', '10']	Time from before all recursive calls to after them	2.4e-05	False		factorial	10.0	2021-08-21 12:19:52.338208
10	['target/release/factorial', '11']	Time from before all recursive calls to after them	2.9e-05	False		factorial	11.0	2021-08-21 12:19:52.340597
11	['target/release/factorial', '12']	Time from before all recursive calls to after them	3.1e-05	False		factorial	12.0	2021-08-21 12:19:52.343118
12	['target/release/factorial', '13']	Time from before all recursive calls to after them	3.3e-05	False		factorial	13.0	2021-08-21 12:19:52.345579
13	['target/release/factorial', '14']	Time from before all recursive calls to after them	3.8e-05	False		factorial	14.0	2021-08-21 12:19:52.348091
14	['target/release/factorial', '15']	Time from before all recursive calls to after them	3.8e-05	False		factorial	15.0	2021-08-21 12:19:52.350643
15	['target/release/factorial', '16']	Time from before all recursive calls to after them	4e-05	False		factorial	16.0	2021-08-21 12:19:52.353242
16	['target/release/factorial', '17']	Time from before all recursive calls to after them	4.4e-05	False		factorial	17.0	2021-08-21 12:19:52.355857
17	['target/release/factorial', '18']	Time from before all recursive calls to after them	4.5e-05	False		factorial	18.0	2021-08-21 12:19:52.358452
18	['target/release/factorial', '19']	Time from before all recursive calls to after them	4.8e-05	False		factorial	19.0	2021-08-21 12:19:52.361079
19	['target/release/factorial', '20']	Time from before all recursive calls to after them	5.3e-05	False		factorial	20.0	2021-08-21 12:19:52.363725
0	['build/factorial', '1']	Time from before all recursive calls to after them	2e-06	True		factorial	1.0	2021-08-21 12:19:52.372893
1	['build/factorial', '2']	Time from before all recursive calls to after them	0.01012	True		factorial	2.0	2021-08-21 12:19:52.453238
2	['build/factorial', '3']	Time from before all recursive calls to after them	0.014975	True		factorial	3.0	2021-08-21 12:19:52.633227
3	['build/factorial', '4']	Time from before all recursive calls to after them	0.020108	True		factorial	4.0	2021-08-21 12:19:52.861247
4	['build/factorial', '5']	Time from before all recursive calls to after them	0.024911	True		factorial	5.0	2021-08-21 12:19:53.141184
5	['build/factorial', '6']	Time from before all recursive calls to after them	0.030045	True		factorial	6.0	2021-08-21 12:19:53.469227
6	['build/factorial', '7']	Time from before all recursive calls to after them	0.034863	True		factorial	7.0	2021-08-21 12:19:53.849216
7	['build/factorial', '8']	Time from before all recursive calls to after them	0.041048	True		factorial	8.0	2021-08-21 12:19:54.277246
8	['build/factorial', '9']	Time from before all recursive calls to after them	0.044837	True		factorial	9.0	2021-08-21 12:19:54.769223
9	['build/factorial', '10']	Time from before all recursive calls to after them	0.049686	True		factorial	10.0	2021-08-21 12:19:55.297221
10	['build/factorial', '11']	Time from before all recursive calls to after them	0.054717	True		factorial	11.0	2021-08-21 12:19:55.873238
11	['build/factorial', '12']	Time from before all recursive calls to after them	0.059799	True		factorial	12.0	2021-08-21 12:19:56.501241
12	['build/factorial', '13']	Time from before all recursive calls to after them	0.064869	True		factorial	13.0	2021-08-21 12:19:57.177244
13	['build/factorial', '14']	Time from before all recursive calls to after them	0.069488	True		factorial	14.0	2021-08-21 12:19:57.905208
14	['build/factorial', '15']	Time from before all recursive calls to after them	0.074656	True		factorial	15.0	2021-08-21 12:19:58.681215
15	['build/factorial', '16']	Time from before all recursive calls to after them	0.079416	True		factorial	16.0	2021-08-21 12:19:59.509214
16	['build/factorial', '17']	Time from before all recursive calls to after them	0.084607	True		factorial	17.0	2021-08-21 12:20:00.385230
17	['build/factorial', '18']	Time from before all recursive calls to after them	0.089454	True		factorial	18.0	2021-08-21 12:20:01.313213
18	['build/factorial', '19']	Time from before all recursive calls to after them	0.09467	True		factorial	19.0	2021-08-21 12:20:02.289251
