	cmd	descr	duration	enclaved	operation	program	size	time
0	['cargo', 'build', '--features=enclavization_bin']	Time spent building the program in debug mode with multiple codegen units	5850.656986236572	False	debug	build gcd		2021-08-21 12:40:25.613264
1	['cargo', 'rustc', '--features=enclavization_bin', '--', '-C', 'codegen-units=1']	Time spent building the program in debug mode with one codegen unit	6655.0798416137695	False	debug, codegen-units=1	build gcd		2021-08-21 12:40:32.272489
2	['cargo', 'build', '--features=enclavization_bin', '--release']	Time spent building the program in release mode with multiple codegen units	15734.180927276611	False	release	build gcd		2021-08-21 12:40:48.010422
3	['cargo', 'rustc', '--features=enclavization_bin', '--release', '--', '-C', 'codegen-units=1']	Time spent building the program in release mode with one codegen unit	18360.22424697876	False	release, codegen-units=1	build gcd		2021-08-21 12:41:06.373059
0	['make', 'all']	Time spent building the program in debug mode	45702.375173568726	True	debug, codegen-units=1	build gcd		2021-08-21 12:41:52.116931
1	['make', 'all']	Time spent building the program in release mode	105781.32438659668	True	release, codegen-units=1	build gcd		2021-08-21 12:43:37.944196
0	['target/release/gcd', '2', '3']	Time from before all recursive calls to after them	1.2e-05	False	2, 3	gcd	1.0	2021-08-21 12:43:37.948387
1	['target/release/gcd', '13', '21']	Time from before all recursive calls to after them	3.6e-05	False	13, 21	gcd	2.0	2021-08-21 12:43:37.950844
2	['target/release/gcd', '144', '233']	Time from before all recursive calls to after them	8.4e-05	False	144, 233	gcd	3.0	2021-08-21 12:43:37.953169
3	['target/release/gcd', '1597', '2584']	Time from before all recursive calls to after them	0.000134	False	1597, 2584	gcd	4.0	2021-08-21 12:43:37.955940
4	['target/release/gcd', '10946', '17711']	Time from before all recursive calls to after them	0.000173	False	10946, 17711	gcd	5.0	2021-08-21 12:43:37.959242
5	['target/release/gcd', '121393', '196418']	Time from before all recursive calls to after them	0.000224	False	121393, 196418	gcd	6.0	2021-08-21 12:43:37.962911
6	['target/release/gcd', '1346269', '2178309']	Time from before all recursive calls to after them	0.000272	False	1346269, 2178309	gcd	7.0	2021-08-21 12:43:37.967112
7	['target/release/gcd', '14930352', '24157817']	Time from before all recursive calls to after them	0.000372	False	14930352, 24157817	gcd	8.0	2021-08-21 12:43:37.971794
8	['target/release/gcd', '102334155', '165580141']	Time from before all recursive calls to after them	0.000408	False	102334155, 165580141	gcd	9.0	2021-08-21 12:43:37.977460
9	['target/release/gcd', '12586269025', '20365011074']	Time from before all recursive calls to after them	0.000532	False	12586269025, 20365011074	gcd	11.0	2021-08-21 12:43:37.983512
0	['build/gcd', '2', '3']	Time from before all recursive calls to after them	0.020115	True	2, 3	gcd	1.0	2021-08-21 12:43:37.995134
1	['build/gcd', '13', '21']	Time from before all recursive calls to after them	0.039941	True	13, 21	gcd	2.0	2021-08-21 12:43:38.277260
2	['build/gcd', '144', '233']	Time from before all recursive calls to after them	0.065095	True	144, 233	gcd	3.0	2021-08-21 12:43:38.757250
3	['build/gcd', '1597', '2584']	Time from before all recursive calls to after them	0.089705	True	1597, 2584	gcd	4.0	2021-08-21 12:43:39.489227
4	['build/gcd', '10946', '17711']	Time from before all recursive calls to after them	0.109499	True	10946, 17711	gcd	5.0	2021-08-21 12:43:40.465262
5	['build/gcd', '121393', '196418']	Time from before all recursive calls to after them	0.134773	True	121393, 196418	gcd	6.0	2021-08-21 12:43:41.641258
6	['build/gcd', '1346269', '2178309']	Time from before all recursive calls to after them	0.15986	True	1346269, 2178309	gcd	7.0	2021-08-21 12:43:43.069246
7	['build/gcd', '14930352', '24157817']	Time from before all recursive calls to after them	0.184064	True	14930352, 24157817	gcd	8.0	2021-08-21 12:43:44.749274
8	['build/gcd', '102334155', '165580141']	Time from before all recursive calls to after them	0.204331	True	102334155, 165580141	gcd	9.0	2021-08-21 12:43:46.669283
9	['build/gcd', '12586269025', '20365011074']	Time from before all recursive calls to after them	0.254407	True	12586269025, 20365011074	gcd	11.0	2021-08-21 12:43:48.793221
0	['target/release/gcd', '2', '3']	Time from before all recursive calls to after them	1.2e-05	False	2, 3	gcd	1.0	2021-08-21 12:43:51.421978
1	['target/release/gcd', '13', '21']	Time from before all recursive calls to after them	3.7e-05	False	13, 21	gcd	2.0	2021-08-21 12:43:51.424373
