	cmd	descr	duration	enclaved	operation	program	size	time
0	['cargo', 'build', '--features=enclavization_bin']	Time spent building the program in debug mode with multiple codegen units	21161.932706832886	False	debug	build maxisign		2021-08-23 08:27:25.113721
1	['cargo', 'rustc', '--features=enclavization_bin', '--', '-C', 'codegen-units=1']	Time spent building the program in debug mode with one codegen unit	21837.27788925171	False	debug, codegen-units=1	build maxisign		2021-08-23 08:27:46.960001
2	['cargo', 'build', '--features=enclavization_bin', '--release']	Time spent building the program in release mode with multiple codegen units	55997.244119644165	False	release	build maxisign		2021-08-23 08:28:42.965638
3	['cargo', 'rustc', '--features=enclavization_bin', '--release', '--', '-C', 'codegen-units=1']	Time spent building the program in release mode with one codegen unit	67073.3494758606	False	release, codegen-units=1	build maxisign		2021-08-23 08:29:50.045702
0	['make', 'all']	Time spent building the program in debug mode	65775.62928199768	True	debug, codegen-units=1	build maxisign		2021-08-23 08:30:55.890963
1	['make', 'all']	Time spent building the program in release mode	190235.0730895996	True	release, codegen-units=1	build maxisign		2021-08-23 08:34:06.183334
0	['target/release/maxisign', 'genkey']	Time from after program startup to complete key generation	0.094	False	genkey	maxisign		2021-08-23 08:34:06.195397
1	['target/release/maxisign', 'sign']	Time from after program startup until after signature has been emitted	0.084	False	sign	maxisign	1024.0	2021-08-23 08:34:06.198262
2	['target/release/maxisign', 'verify', '/tmp/tmpueor97or']	Time from after program startup until after verification result has been emitted	0.106	False	verify	maxisign	1024.0	2021-08-23 08:34:06.200283
3	['target/release/maxisign', 'sign']	Time from after program startup until after signature has been emitted	0.124	False	sign	maxisign	10240.0	2021-08-23 08:34:06.202839
4	['target/release/maxisign', 'verify', '/tmp/tmpm3uet5vc']	Time from after program startup until after verification result has been emitted	0.131	False	verify	maxisign	10240.0	2021-08-23 08:34:06.204898
5	['target/release/maxisign', 'sign']	Time from after program startup until after signature has been emitted	0.659	False	sign	maxisign	102400.0	2021-08-23 08:34:06.210094
6	['target/release/maxisign', 'verify', '/tmp/tmpfuanztms']	Time from after program startup until after verification result has been emitted	0.489	False	verify	maxisign	102400.0	2021-08-23 08:34:06.212728
7	['target/release/maxisign', 'sign']	Time from after program startup until after signature has been emitted	2.894	False	sign	maxisign	524288.0	2021-08-23 08:34:06.230681
