	cmd	descr	duration	enclaved	operation	program	time
0	['cargo', 'build', '--features=enclavization_bin']	Time spent building the program in debug mode with multiple codegen units	5561.377286911011	False	debug	build minimal_ecall	2021-08-21 14:13:27.222658
1	['cargo', 'rustc', '--features=enclavization_bin', '--', '-C', 'codegen-units=1']	Time spent building the program in debug mode with one codegen unit	5703.716516494751	False	debug, codegen-units=1	build minimal_ecall	2021-08-21 14:13:32.930178
2	['cargo', 'build', '--features=enclavization_bin', '--release']	Time spent building the program in release mode with multiple codegen units	13894.108295440674	False	release	build minimal_ecall	2021-08-21 14:13:46.827894
3	['cargo', 'rustc', '--features=enclavization_bin', '--release', '--', '-C', 'codegen-units=1']	Time spent building the program in release mode with one codegen unit	13955.562591552734	False	release, codegen-units=1	build minimal_ecall	2021-08-21 14:14:00.785849
0	['make', 'all']	Time spent building the program in debug mode	44735.93068122864	True	debug, codegen-units=1	build minimal_ecall	2021-08-21 14:14:45.571489
1	['make', 'all']	Time spent building the program in release mode	100886.12866401672	True	release, codegen-units=1	build minimal_ecall	2021-08-21 14:16:26.503366
0	['target/release/minimal_ecall']	Time from before enclaved function call to after it	1e-06	False		minimal_ecall	2021-08-21 14:16:26.507499
0	['build/minimal_ecall']	Time from before enclaved function call to after it	0.010508	True		minimal_ecall	2021-08-21 14:16:26.514285
0	['target/release/minimal_ecall']	Time from before enclaved function call to after it	1e-06	False		minimal_ecall	2021-08-21 14:16:26.705980
0	['build/minimal_ecall']	Time from before enclaved function call to after it	0.010493	True		minimal_ecall	2021-08-21 14:16:26.712717
0	['target/release/minimal_ecall']	Time from before enclaved function call to after it	1e-06	False		minimal_ecall	2021-08-21 14:16:26.902007
0	['build/minimal_ecall']	Time from before enclaved function call to after it	0.010472	True		minimal_ecall	2021-08-21 14:16:26.908779
0	['target/release/minimal_ecall']	Time from before enclaved function call to after it	1e-06	False		minimal_ecall	2021-08-21 14:16:27.097978
0	['build/minimal_ecall']	Time from before enclaved function call to after it	0.010488	True		minimal_ecall	2021-08-21 14:16:27.104728
0	['target/release/minimal_ecall']	Time from before enclaved function call to after it	1e-06	False		minimal_ecall	2021-08-21 14:16:27.293975
0	['build/minimal_ecall']	Time from before enclaved function call to after it	0.010288	True		minimal_ecall	2021-08-21 14:16:27.300749
0	['target/release/minimal_ecall']	Time from before enclaved function call to after it	1e-06	False		minimal_ecall	2021-08-21 14:16:27.490019
0	['build/minimal_ecall']	Time from before enclaved function call to after it	0.010523	True		minimal_ecall	2021-08-21 14:16:27.496759
0	['target/release/minimal_ecall']	Time from before enclaved function call to after it	1e-06	False		minimal_ecall	2021-08-21 14:16:27.693959
0	['build/minimal_ecall']	Time from before enclaved function call to after it	0.010337	True		minimal_ecall	2021-08-21 14:16:27.700704
0	['target/release/minimal_ecall']	Time from before enclaved function call to after it	1e-06	False		minimal_ecall	2021-08-21 14:16:27.893998
0	['build/minimal_ecall']	Time from before enclaved function call to after it	0.01032	True		minimal_ecall	2021-08-21 14:16:27.900746
0	['target/release/minimal_ecall']	Time from before enclaved function call to after it	1e-06	False		minimal_ecall	2021-08-21 14:16:28.090013
0	['build/minimal_ecall']	Time from before enclaved function call to after it	0.010535	True		minimal_ecall	2021-08-21 14:16:28.096782
0	['target/release/minimal_ecall']	Time from before enclaved function call to after it	1e-06	False		minimal_ecall	2021-08-21 14:16:28.286011
0	['build/minimal_ecall']	Time from before enclaved function call to after it	0.010476	True		minimal_ecall	2021-08-21 14:16:28.292771
0	['target/release/minimal_ecall']	Time from before enclaved function call to after it	1e-06	False		minimal_ecall	2021-08-21 14:16:28.481996
0	['build/minimal_ecall']	Time from before enclaved function call to after it	0.010526	True		minimal_ecall	2021-08-21 14:16:28.488725
0	['target/release/minimal_ecall']	Time from before enclaved function call to after it	1e-06	False		minimal_ecall	2021-08-21 14:16:28.678026
0	['build/minimal_ecall']	Time from before enclaved function call to after it	0.010485	True		minimal_ecall	2021-08-21 14:16:28.685401
0	['target/release/minimal_ecall']	Time from before enclaved function call to after it	1e-06	False		minimal_ecall	2021-08-21 14:16:28.875463
0	['build/minimal_ecall']	Time from before enclaved function call to after it	0.010309	True		minimal_ecall	2021-08-21 14:16:28.883724
0	['target/release/minimal_ecall']	Time from before enclaved function call to after it	1e-06	False		minimal_ecall	2021-08-21 14:16:29.070671
